,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
169,929,1905,929_1905,3.385898184231816,375021,51.52028299868124,-0.1305979043245048,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
170,930,1905,930_1905,0.26435967158084933,375021,51.52028299868124,-0.1305979043245048,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
171,931,1905,931_1905,3.8683097250723186,375021,51.52028299868124,-0.1305979043245048,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
172,945,2222,945_2222,4.7501735126799804,380155,51.52045959979307,-0.130172602832254,True,Camden,Whitebeam,Whitebeam,Sorbus,,Unknown,,,,,20180214,20210218
173,955,1447,955_1447,4.448311276059525,373545,51.52056189626459,-0.1305548027157342,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
174,956,1447,956_1447,3.2636435672870743,373545,51.52056189626459,-0.1305548027157342,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
175,973,1448,973_1448,4.766805016294322,373546,51.52104139328007,-0.1310714036225072,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
176,974,1448,974_1448,1.5279849926828646,373546,51.52104139328007,-0.1310714036225072,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
177,976,1448,976_1448,3.4115226173935143,373546,51.52104139328007,-0.1310714036225072,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
178,977,1448,977_1448,4.145353402524324,373546,51.52104139328007,-0.1310714036225072,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
179,1027,1446,1027_1446,2.450832316741601,373544,51.52235350012778,-0.1324923038482011,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
180,1028,1446,1028_1446,2.00996449865062,373544,51.52235350012778,-0.1324923038482011,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
181,1030,1446,1030_1446,1.2063639228665206,373544,51.52235350012778,-0.1324923038482011,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
