,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
4369,778,259,778_259,17.014889683169063,272771,51.4632903933526,-0.0120171010493296,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1318,778,50,778_50,6.27174845450714,65415,51.46318569779407,-0.0122088044881815,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1288,778,49,778_49,12.958403144493056,65408,51.463214099407246,-0.0122939050197033,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1239,778,312,778_312,16.512326110946535,274634,51.463285297155366,-0.0122477039693822,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1302,778,313,778_313,11.74086345145603,274635,51.463231399655385,-0.0122500061987763,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
4364,779,98,779_98,16.87358661770107,78112,51.46329839527624,-0.0119591057300191,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1319,779,50,779_50,5.584292322733187,65415,51.46318569779407,-0.0122088044881815,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4359,779,260,779_260,12.634604723202752,272772,51.46323549747476,-0.011961907148321,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1274,779,48,779_48,7.081760906167416,65407,51.46323939412837,-0.0121921002864402,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1336,779,314,779_314,9.5603549070106,274636,51.46318669617185,-0.0122663006186177,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
4353,779,99,779_99,12.788027412015158,78118,51.46325369924312,-0.0119755044578971,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1303,779,313,779_313,9.623856395400164,274635,51.463231399655385,-0.0122500061987763,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1240,779,312,779_312,13.482376943076636,274634,51.463285297155366,-0.0122477039693822,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1289,779,49,779_49,11.788872234917505,65408,51.463214099407246,-0.0122939050197033,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4370,779,259,779_259,13.623228232522456,272771,51.4632903933526,-0.0120171010493296,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
4346,779,47,779_47,9.509790136009798,65405,51.46326410025369,-0.0120614022016422,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1223,779,311,779_311,17.176168835350595,274633,51.46332999318848,-0.0122313052415042,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1345,779,51,779_51,4.194994133705247,65425,51.46321969479323,-0.0120921060442781,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1346,780,51,780_51,15.292853031763888,65425,51.46321969479323,-0.0120921060442781,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1304,780,313,780_313,14.279890633595013,274635,51.463231399655385,-0.0122500061987763,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1275,780,48,780_48,12.306603878642134,65407,51.46323939412837,-0.0121921002864402,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4365,780,98,780_98,15.488472485239855,78112,51.46329839527624,-0.0119591057300191,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4360,780,260,780_260,19.026447809413316,272772,51.46323549747476,-0.011961907148321,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1187,780,310,780_310,11.644531976339987,274632,51.46344679594034,-0.0122262015937747,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
